latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
46.08059,42.09944,302.29,2.04,1.39,2025-08-01,3,Aqua,MODIS,48,6.1NRT,291.52,10.37,N
44.18841,42.70514,311.96,1.78,1.31,2025-08-01,3,Aqua,MODIS,84,6.1NRT,291.07,24.92,N
43.79523,58.97246,304.57,2.33,1.48,2025-08-01,3,Aqua,MODIS,61,6.1NRT,286.92,28.21,N
44.18654,42.72652,315.64,1.78,1.31,2025-08-01,3,Aqua,MODIS,92,6.1NRT,291.17,31.79,N
44.36858,42.72382,311.78,1.79,1.31,2025-08-01,3,Aqua,MODIS,83,6.1NRT,290.92,25.38,N
35.63587,44.02068,314.64,1.18,1.08,2025-08-01,5,Aqua,MODIS,87,6.1NRT,299.36,12.73,N
35.63746,44.00798,318.78,1.18,1.08,2025-08-01,5,Aqua,MODIS,97,6.1NRT,298.99,17.48,N
35.69137,43.88774,325.84,1.2,1.09,2025-08-01,5,Aqua,MODIS,100,6.1NRT,300.13,26.98,N
35.69298,43.87492,327.52,1.2,1.09,2025-08-01,5,Aqua,MODIS,100,6.1NRT,299.94,29.54,N
32.26528,47.25034,317.13,1.03,1.01,2025-08-01,5,Aqua,MODIS,93,6.1NRT,301.61,11.84,N
32.2636,47.26086,312.99,1.03,1.01,2025-08-01,5,Aqua,MODIS,82,6.1NRT,301.4,8.22,N
32.18429,47.52192,328.21,1.04,1.02,2025-08-01,5,Aqua,MODIS,100,6.1NRT,301.07,24.54,N
32.11478,47.54515,311.42,1.05,1.02,2025-08-01,5,Aqua,MODIS,76,6.1NRT,301.36,7.29,N
32.11306,47.55582,325.92,1.05,1.02,2025-08-01,5,Aqua,MODIS,100,6.1NRT,302.75,21.5,N
32.1264,47.4154,328.7,1.04,1.02,2025-08-01,5,Aqua,MODIS,100,6.1NRT,303.19,24.52,N
32.11754,47.41346,322.61,1.04,1.02,2025-08-01,5,Aqua,MODIS,100,6.1NRT,301.58,16.83,N
32.06636,47.44619,318.82,1.04,1.02,2025-08-01,5,Aqua,MODIS,97,6.1NRT,301.54,13.98,N
32.53123,43.33792,315.02,1.17,1.08,2025-08-01,5,Aqua,MODIS,88,6.1NRT,299.78,12.2,N
32.52968,43.34996,319.39,1.17,1.07,2025-08-01,5,Aqua,MODIS,98,6.1NRT,299.91,17.22,N
31.57537,48.71427,322.32,1.17,1.07,2025-08-01,5,Aqua,MODIS,100,6.1NRT,302.24,21.74,N
31.57332,48.72608,317.13,1.17,1.08,2025-08-01,5,Aqua,MODIS,93,6.1NRT,300.6,15.72,N
31.65921,47.66445,318.35,1.06,1.03,2025-08-01,5,Aqua,MODIS,91,6.1NRT,304.78,13.44,N
31.66429,47.52076,319.51,1.05,1.02,2025-08-01,5,Aqua,MODIS,98,6.1NRT,302.7,14.09,N
31.63951,47.67129,316.63,1.06,1.03,2025-08-01,5,Aqua,MODIS,13,6.1NRT,304.2,10.73,N
31.63034,47.67369,321.1,1.06,1.03,2025-08-01,5,Aqua,MODIS,100,6.1NRT,304.01,17.4,N
31.40982,48.6512,319.61,1.16,1.07,2025-08-01,5,Aqua,MODIS,99,6.1NRT,301.29,16.79,N
31.3085,49.1174,312.33,1.23,1.1,2025-08-01,5,Aqua,MODIS,82,6.1NRT,299.08,11.12,N
31.30629,49.12979,311.74,1.23,1.1,2025-08-01,5,Aqua,MODIS,80,6.1NRT,298.89,10.22,N
31.53893,47.72078,308.38,1.07,1.03,2025-08-01,5,Aqua,MODIS,63,6.1NRT,297.87,7.16,N
31.52875,47.72405,310.02,1.07,1.03,2025-08-01,5,Aqua,MODIS,70,6.1NRT,298.87,8.66,N
31.77305,46.05194,311.86,1,1,2025-08-01,5,Aqua,MODIS,80,6.1NRT,301.09,7.59,N
31.76432,46.05016,313.36,1,1,2025-08-01,5,Aqua,MODIS,84,6.1NRT,300.13,8.56,N
31.28465,48.88947,313.17,1.2,1.09,2025-08-01,5,Aqua,MODIS,82,6.1NRT,300.1,10.79,N
31.21052,48.95375,313.66,1.21,1.09,2025-08-01,5,Aqua,MODIS,84,6.1NRT,301.27,10.23,N
31.13546,49.32551,335.83,1.27,1.12,2025-08-01,5,Aqua,MODIS,100,6.1NRT,301.95,46.84,N
31.27888,48.1137,329.58,1.11,1.05,2025-08-01,5,Aqua,MODIS,100,6.1NRT,301.27,28.69,N
31.27701,48.12494,334.48,1.11,1.05,2025-08-01,5,Aqua,MODIS,100,6.1NRT,303.74,36.45,N
31.30304,47.79714,318.79,1.08,1.04,2025-08-01,5,Aqua,MODIS,97,6.1NRT,301.36,14.99,N
30.99366,49.59603,314.81,1.32,1.14,2025-08-01,5,Aqua,MODIS,89,6.1NRT,303.11,10.14,N
31.23749,47.96537,312.43,1.1,1.04,2025-08-01,5,Aqua,MODIS,80,6.1NRT,299.9,9.12,N
30.90658,49.68037,324.14,1.34,1.15,2025-08-01,5,Aqua,MODIS,100,6.1NRT,304.07,23.44,N
30.92783,48.85688,318.74,1.21,1.09,2025-08-01,5,Aqua,MODIS,97,6.1NRT,299.47,18.36,N
30.92571,48.86905,311.43,1.21,1.09,2025-08-01,5,Aqua,MODIS,78,6.1NRT,299.72,10.22,N
31.08957,47.79409,332.71,1.09,1.04,2025-08-01,5,Aqua,MODIS,100,6.1NRT,301.47,32.7,N
30.56824,50.71476,310.17,1.57,1.23,2025-08-01,5,Aqua,MODIS,26,6.1NRT,297.93,12.77,N
30.72354,49.82791,338.58,1.37,1.16,2025-08-01,5,Aqua,MODIS,100,6.1NRT,304.51,54.92,N
31.36191,45.96461,310.44,1,1,2025-08-01,5,Aqua,MODIS,76,6.1NRT,299.47,7.5,N
31.08969,47.62466,317.43,1.07,1.03,2025-08-01,5,Aqua,MODIS,94,6.1NRT,300.77,13.37,N
31.08789,47.6355,321.55,1.07,1.03,2025-08-01,5,Aqua,MODIS,100,6.1NRT,301.14,17.66,N
31.06277,47.62324,316.35,1.07,1.03,2025-08-01,5,Aqua,MODIS,92,6.1NRT,299.65,12.62,N
31.03459,47.27849,340.81,1.05,1.02,2025-08-01,5,Aqua,MODIS,100,6.1NRT,299.09,44.8,N
